Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BENPORATH_ES_WITH_H3K27ME3	0.14018691588785	2.11837710818222e-20	9.78478386269367e-17	16.0094487630848	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.141833810888252	1.28570990916775e-19	2.96934703522292e-16	15.5273390423249	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.140961857379768	9.32137823218313e-17	1.36827512872476e-13	12.8638265671823	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.189003436426117	1.18491026518707e-16	1.36827512872476e-13	12.8638265671823	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.131468531468531	1.90411132800775e-16	1.75901804481356e-13	12.7547297053278	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.122146118721461	2.44470619823124e-16	1.88201632160502e-13	12.7253766145154	c2.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPSE	0.148623853211009	4.35987770555444e-17	3.50752161411854e-13	12.4549996440734	c5.all.v2024.1.Hs.symbols
MEISSNER_NPC_HCP_WITH_H3K4ME2	0.161953727506427	1.67318449597186e-15	1.10406274098486e-12	11.9570062460912	c2.all.v2024.1.Hs.symbols
GOCC_PLASMA_MEMBRANE_REGION	0.120260021668472	4.04486265055692e-16	1.62704600118652e-12	11.7886001681578	c5.all.v2024.1.Hs.symbols
GOCC_SYNAPTIC_MEMBRANE	0.179401993355482	3.87098354245035e-15	1.03806875330043e-11	10.9837738813718	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_MEMBRANE	0.212871287128713	5.3384384489246e-15	1.07369343303996e-11	10.9691197031288	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION	0.176470588235294	7.96408421920307e-15	1.28142115086977e-11	10.892308111911	c5.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.153284671532847	2.37697448931144e-14	1.37240564576619e-11	10.862517504023	c2.all.v2024.1.Hs.symbols
GOCC_NEURON_TO_NEURON_SYNAPSE	0.166666666666667	1.59123444638174e-13	2.13358018685686e-10	9.67089103030407	c5.all.v2024.1.Hs.symbols
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	0.112138728323699	1.44638352117357e-12	7.42316164922301e-10	9.12941108200408	c2.all.v2024.1.Hs.symbols
GOBP_NEURON_DEVELOPMENT	0.11018711018711	7.05294672633771e-13	8.10585091619812e-10	9.09120138811812	c5.all.v2024.1.Hs.symbols
GOBP_CELL_JUNCTION_ORGANIZATION	0.125200642054575	2.11210352670499e-12	2.1239841090427e-09	8.67284873682827	c5.all.v2024.1.Hs.symbols
GOBP_NERVOUS_SYSTEM_PROCESS	0.118065433854908	9.00247828617325e-12	8.04721531247375e-09	8.0943543784707	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.26	1.18464766066845e-11	9.53049043007772e-09	8.02088475040089	c5.all.v2024.1.Hs.symbols
GOCC_RECEPTOR_COMPLEX	0.161870503597122	3.20289586076945e-11	2.34248156362639e-08	7.63032381851781	c5.all.v2024.1.Hs.symbols
NABA_MATRISOME_ASSOCIATED	0.138888888888889	5.97753688813125e-11	2.58905932399176e-08	7.5868579983148	c2.all.v2024.1.Hs.symbols
RIGGI_EWING_SARCOMA_PROGENITOR_UP	0.14025974025974	6.16576154230556e-11	2.58905932399176e-08	7.5868579983148	c2.all.v2024.1.Hs.symbols
GOBP_SYNAPSE_ORGANIZATION	0.139303482587065	5.67133600879967e-11	3.80215818256611e-08	7.41996981898385	c5.all.v2024.1.Hs.symbols
GOBP_CELL_MORPHOGENESIS	0.109090909090909	8.4434257199402e-11	5.22518153207068e-08	7.2818986167945	c5.all.v2024.1.Hs.symbols
SCHAEFFER_PROSTATE_DEVELOPMENT_48HR_DN	0.14540059347181	1.37013749306984e-10	5.27388756707465e-08	7.27786913307871	c2.all.v2024.1.Hs.symbols
