Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BENPORATH_ES_WITH_H3K27ME3	0.12283044058745	1.67362590287062e-22	6.62588494946479e-19	18.1787561093907	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.120343839541547	5.58450633476028e-20	1.1054530289658e-16	15.9564597059974	c2.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPSE	0.135779816513761	2.93115851070226e-20	2.10691673749278e-16	15.6763526267848	c5.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.175257731958763	2.83000209890066e-19	3.7346594365159e-16	15.427748995344	c2.all.v2024.1.Hs.symbols
GOCC_SYNAPTIC_MEMBRANE	0.172757475083056	5.26614837199564e-19	1.81381776490213e-15	14.7414063488487	c5.all.v2024.1.Hs.symbols
GOCC_PLASMA_MEMBRANE_REGION	0.106175514626219	7.57019100543459e-19	1.81381776490213e-15	14.7414063488487	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_MEMBRANE	0.207920792079208	1.32470113979899e-18	2.38048794821878e-15	14.6233340129021	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION	0.163398692810458	2.92321333861799e-17	4.20241149559722e-14	13.376501424201	c5.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.11048951048951	1.26532694826584e-16	1.25235734704612e-13	12.9022717320627	c2.all.v2024.1.Hs.symbols
GOCC_NEURON_TO_NEURON_SYNAPSE	0.154088050314465	7.07889755695267e-16	8.4805192732293e-13	12.0715775545129	c5.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.1338199513382	2.69984247639987e-15	2.13773527281342e-12	11.6700460768048	c2.all.v2024.1.Hs.symbols
GOBP_NEURON_DEVELOPMENT	0.0956340956340956	8.35849891289837e-15	8.02596339175818e-12	11.0955028255134	c5.all.v2024.1.Hs.symbols
GOBP_SYNAPSE_ORGANIZATION	0.134328358208955	8.93262480997015e-15	8.02596339175818e-12	11.0955028255134	c5.all.v2024.1.Hs.symbols
GOBP_NERVOUS_SYSTEM_PROCESS	0.106685633001422	1.36912904918951e-14	1.09347773395269e-11	10.9611900559002	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.26	1.99843243661937e-14	1.436473235442e-11	10.8427024614285	c5.all.v2024.1.Hs.symbols
GOBP_CELL_JUNCTION_ORGANIZATION	0.110754414125201	2.82910459376251e-14	1.84869125636045e-11	10.7331356128294	c5.all.v2024.1.Hs.symbols
GOCC_SOMATODENDRITIC_COMPARTMENT	0.106351550960118	5.81707057362156e-14	3.48442527359931e-11	10.4578688448509	c5.all.v2024.1.Hs.symbols
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	0.0901734104046243	1.04104380953301e-11	6.86915406990198e-09	8.16309674261936	c2.all.v2024.1.Hs.symbols
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	0.132075471698113	1.72681045115709e-11	9.54793347916702e-09	8.0200906154017	c5.all.v2024.1.Hs.symbols
GOBP_SYNAPTIC_SIGNALING	0.103986135181976	2.31256164951472e-11	1.18733522405084e-08	7.92542664801956	c5.all.v2024.1.Hs.symbols
GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX	0.119106699751861	2.51537174334193e-11	1.20536613940945e-08	7.91888101269736	c5.all.v2024.1.Hs.symbols
GOCC_CELL_BODY	0.11358574610245	3.40564026148311e-11	1.52026992991814e-08	7.81807929451175	c5.all.v2024.1.Hs.symbols
GOCC_DENDRITIC_TREE	0.108267716535433	3.59551875467562e-11	1.52026992991814e-08	7.81807929451175	c5.all.v2024.1.Hs.symbols
GOBP_CELL_CELL_SIGNALING	0.087527352297593	5.90411997223052e-11	2.24108197851533e-08	7.64954225673327	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_DENSITY_MEMBRANE	0.246913580246914	5.92383939785632e-11	2.24108197851533e-08	7.64954225673327	c5.all.v2024.1.Hs.symbols
