Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
FOROUTAN_PRODRANK_TGFB_EMT_UP	0.0978260869565217	3.82817032225786e-11	1.09599914022042e-07	6.96018978654296	c2.all.v2024.1.Hs.symbols
FOROUTAN_TGFB_EMT_UP	0.0942408376963351	7.14704362713021e-11	1.09599914022042e-07	6.96018978654296	c2.all.v2024.1.Hs.symbols
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.0563991323210412	3.99502264102547e-10	4.0842448133417e-07	6.38888823379942	c2.all.v2024.1.Hs.symbols
BLANCO_MELO_COVID19_BRONCHIAL_EPITHELIAL_CELLS_SARS_COV_2_INFECTION_UP	0.123809523809524	1.19508954030707e-09	9.16334905030443e-07	6.03794576997391	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME_ASSOCIATED	0.0580808080808081	2.55414195604452e-09	1.56671067583771e-06	5.80501119720627	c2.all.v2024.1.Hs.symbols
GOBP_INFLAMMATORY_RESPONSE	0.0486486486486487	3.44310279535913e-09	1.1252136754543e-05	4.9487649982112	c5.all.v2024.1.Hs.symbols
GOBP_LEUKOCYTE_DIFFERENTIATION	0.0534521158129176	4.56476136086935e-09	1.1252136754543e-05	4.9487649982112	c5.all.v2024.1.Hs.symbols
HELLEBREKERS_SILENCED_DURING_TUMOR_ANGIOGENESIS	0.144927536231884	2.21052612019102e-08	1.12994726843764e-05	4.94694182338464	c2.all.v2024.1.Hs.symbols
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	0.0669291338582677	4.48708774683151e-08	1.88245086011257e-05	4.72527635189247	c2.all.v2024.1.Hs.symbols
NABA_SECRETED_FACTORS	0.0828402366863905	5.22131968450707e-08	1.88245086011257e-05	4.72527635189247	c2.all.v2024.1.Hs.symbols
FOROUTAN_INTEGRATED_TGFB_EMT_UP	0.100840336134454	5.52398361298114e-08	1.88245086011257e-05	4.72527635189247	c2.all.v2024.1.Hs.symbols
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	0.0698689956331878	6.27129958661362e-08	1.9234075832144e-05	4.7159286760399	c2.all.v2024.1.Hs.symbols
PLASARI_TGFB1_TARGETS_10HR_UP	0.08	8.09779960414982e-08	2.25781376235705e-05	4.64631188407463	c2.all.v2024.1.Hs.symbols
HALLMARK_INFLAMMATORY_RESPONSE	0.0927152317880795	5.80252756343692e-07	2.43706157664351e-05	4.61313349746335	h.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.0431177446102819	1.02102757561631e-07	2.60957631201268e-05	4.58342999852057	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0365296803652968	1.39490667960295e-07	3.2909067587248e-05	4.48268442239872	c2.all.v2024.1.Hs.symbols
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	0.0693877551020408	2.26517003777729e-08	3.44772654584605e-05	4.46246718726138	c5.all.v2024.1.Hs.symbols
GOBP_CELLULAR_RESPONSE_TO_LIPID	0.0505494505494506	2.79734405342479e-08	3.44772654584605e-05	4.46246718726138	c5.all.v2024.1.Hs.symbols
FEKIR_HEPARG_SIDE_POP_VS_HEPARG_UP	0.117647058823529	1.69448490796194e-07	3.71213229479947e-05	4.43037655457667	c2.all.v2024.1.Hs.symbols
GOBP_RESPONSE_TO_BACTERIUM	0.0532994923857868	4.81702847857951e-08	4.7495900798794e-05	4.3233438711601	c5.all.v2024.1.Hs.symbols
GOBP_HEMOPOIESIS	0.0402219140083218	5.90194194234699e-08	4.84942896262844e-05	4.31430939809468	c5.all.v2024.1.Hs.symbols
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	0.0795454545454545	7.70753662339142e-08	5.35236243884455e-05	4.27145448569974	c5.all.v2024.1.Hs.symbols
GOBP_CYTOKINE_PRODUCTION	0.0442477876106195	8.9731526376329e-08	5.35236243884455e-05	4.27145448569974	c5.all.v2024.1.Hs.symbols
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	0.0855263157894737	9.77104704860059e-08	5.35236243884455e-05	4.27145448569974	c5.all.v2024.1.Hs.symbols
GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION	0.0748663101604278	1.64137451715312e-07	8.09197636956487e-05	4.09194539413932	c5.all.v2024.1.Hs.symbols
