Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
WONG_ENDMETRIUM_CANCER_DN	0.0634920634920635	1.15616467406829e-05	0.00464363560089308	2.33314186790215	c2.all.v2024.1.Hs.symbols
MCCABE_HOXC6_TARGETS_DN	0.142857142857143	1.34640630286526e-05	0.00464363560089308	2.33314186790215	c2.all.v2024.1.Hs.symbols
CHICAS_RB1_TARGETS_SENESCENT	0.015180265654649	1.66438552003336e-05	0.00464363560089308	2.33314186790215	c2.all.v2024.1.Hs.symbols
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.0199335548172757	4.96056918468564e-05	0.0103799910189547	1.98380302225058	c2.all.v2024.1.Hs.symbols
BLANCO_MELO_COVID19_SARS_COV_2_INFECTION_A594_CELLS_DN	0.06	0.000189781060215473	0.0296949055808864	1.52731805128493	c2.all.v2024.1.Hs.symbols
SMID_BREAST_CANCER_BASAL_DN	0.0124333925399645	0.000212866706673021	0.0296949055808864	1.52731805128493	c2.all.v2024.1.Hs.symbols
ABBUD_LIF_SIGNALING_2_UP	0.166666666666667	0.000320079153745679	0.0376152875815913	1.42463561350395	c2.all.v2024.1.Hs.symbols
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	0.0483870967741935	0.000359524851436954	0.0376152875815913	1.42463561350395	c2.all.v2024.1.Hs.symbols
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.0441176470588235	0.000472053187787955	0.0439009464642798	1.35752611666487	c2.all.v2024.1.Hs.symbols
WEST_ADRENOCORTICAL_TUMOR_DN	0.012847965738758	0.000540468875577634	0.045237244885848	1.34450385306818	c2.all.v2024.1.Hs.symbols
