Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BENPORATH_SUZ12_TARGETS	0.17774762550882	1.06880650560722e-24	5.31196833286791e-21	20.2747445226652	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.152201257861635	3.7114600838919e-17	9.22297830847138e-14	13.0351288127785	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.136107986501687	1.68786355623862e-13	2.79622729150197e-10	9.5534275298387	c2.all.v2024.1.Hs.symbols
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.21551724137931	2.96092957671827e-13	3.67895499907244e-10	9.43427552442058	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.140974967061924	5.26762067260097e-13	5.23601494856536e-10	9.28099912223011	c2.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.159090909090909	3.23808886658237e-11	2.68221694448573e-08	7.5715060982284	c2.all.v2024.1.Hs.symbols
GOMF_MOLECULAR_TRANSDUCER_ACTIVITY	0.144230769230769	1.41825183580297e-11	1.22154030617709e-07	6.9130921983905	c5.all.v2024.1.Hs.symbols
MIKKELSEN_NPC_HCP_WITH_H3K27ME3	0.195348837209302	6.22106519081913e-10	4.41695628548158e-07	6.3548768989232	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.135906040268456	2.49186149466629e-09	1.54806895356143e-06	5.81020969902502	c2.all.v2024.1.Hs.symbols
REACTOME_NEURONAL_SYSTEM	0.163879598662207	1.16647963819116e-08	5.90722746087706e-06	5.22861630608452	c2.all.v2024.1.Hs.symbols
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_UP	0.229508196721311	1.1885769538988e-08	5.90722746087706e-06	5.22861630608452	c2.all.v2024.1.Hs.symbols
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	0.193370165745856	2.19041864434325e-08	9.89670969307813e-06	5.0045091690038	c2.all.v2024.1.Hs.symbols
SABATES_COLORECTAL_ADENOMA_DN	0.191256830601093	2.93242681512281e-08	1.21451343926336e-05	4.91559767512347	c2.all.v2024.1.Hs.symbols
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.142857142857143	3.504095288344e-09	1.50903863592534e-05	4.82129964083781	c5.all.v2024.1.Hs.symbols
GOMF_G_PROTEIN_COUPLED_RECEPTOR_ACTIVITY	0.191176470588235	5.39451127968357e-09	1.54876418839715e-05	4.81001470197868	c5.all.v2024.1.Hs.symbols
LIM_MAMMARY_STEM_CELL_UP	0.141552511415525	4.44274041114305e-08	1.69849383410623e-05	4.76993602537241	c2.all.v2024.1.Hs.symbols
REACTOME_SIGNALING_BY_GPCR	0.142857142857143	8.82829271974242e-08	3.13404391550856e-05	4.50389492231241	c2.all.v2024.1.Hs.symbols
CROONQUIST_IL6_DEPRIVATION_DN	0.241758241758242	1.63044170266029e-07	5.4021968414811e-05	4.2674295953408	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.159259259259259	2.10113741013279e-07	6.52665808022497e-05	4.18530913860801	c2.all.v2024.1.Hs.symbols
ZHENG_GLIOBLASTOMA_PLASTICITY_UP	0.165254237288136	2.9028883836258e-07	8.14830997374222e-05	4.0889324581543	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.149532710280374	2.95109817962495e-07	8.14830997374222e-05	4.0889324581543	c2.all.v2024.1.Hs.symbols
DELYS_THYROID_CANCER_DN	0.174129353233831	3.26093811384918e-07	8.23417452828796e-05	4.08437993210789	c2.all.v2024.1.Hs.symbols
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	0.182857142857143	3.33514835784561e-07	8.23417452828796e-05	4.08437993210789	c2.all.v2024.1.Hs.symbols
RIGGI_EWING_SARCOMA_PROGENITOR_UP	0.141361256544503	3.47922867392449e-07	8.23417452828796e-05	4.08437993210789	c2.all.v2024.1.Hs.symbols
REACTOME_LONG_TERM_POTENTIATION	0.476190476190476	4.09924086593822e-07	9.06742634070254e-05	4.04251596372728	c2.all.v2024.1.Hs.symbols
