Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BENPORATH_SUZ12_TARGETS	0.119402985074627	2.31226963862511e-21	9.01091478172206e-18	17.0452311175129	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.10062893081761	4.44040840687727e-15	8.65213578080036e-12	11.0628766736539	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.0948616600790514	2.24192504468939e-12	2.91226063305152e-09	8.53576976039235	c2.all.v2024.1.Hs.symbols
GOCC_SYNAPTIC_MEMBRANE	0.133116883116883	5.14243175716167e-12	3.52205151048003e-08	7.45320429670672	c5.all.v2024.1.Hs.symbols
REACTOME_NEURONAL_SYSTEM	0.130434782608696	3.91892782457207e-11	3.81801543308934e-08	7.41816232044419	c2.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.104545454545455	1.29492554957679e-09	1.00926497334015e-06	5.9959947987264	c2.all.v2024.1.Hs.symbols
GOCC_SOMATODENDRITIC_COMPARTMENT	0.0903873744619799	3.37007544265774e-10	1.15408233533814e-06	5.93776320633847	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPSE	0.0964285714285714	6.89437365903087e-10	1.57398550635675e-06	5.80299927104828	c5.all.v2024.1.Hs.symbols
GOCC_MONOATOMIC_ION_CHANNEL_COMPLEX	0.140845070422535	1.02312182731093e-09	1.75184034881314e-06	5.75650547510218	c5.all.v2024.1.Hs.symbols
GOCC_NEURON_TO_NEURON_SYNAPSE	0.115853658536585	1.8769223941679e-09	2.57100829553118e-06	5.58989652207452	c5.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.115264797507788	4.15972906226113e-09	2.7017440259386e-06	5.56835580016538	c2.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_MEMBRANE	0.138095238095238	3.10783269355848e-09	3.547591019697e-06	5.45006645313756	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION	0.114649681528662	6.72089467984912e-09	6.57591538032666e-06	5.1820437839859	c5.all.v2024.1.Hs.symbols
GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	0.116197183098592	2.09428311992202e-08	1.79296813604324e-05	4.74642742848776	c5.all.v2024.1.Hs.symbols
GOBP_SYNAPTIC_SIGNALING	0.0885860306643952	2.63673919745599e-08	2.006558529264e-05	4.69754816781867	c5.all.v2024.1.Hs.symbols
GOCC_PLASMA_MEMBRANE_REGION	0.0762620837808808	3.48040049547991e-08	2.38372629935419e-05	4.62274361197881	c5.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0764904386951631	8.18971239333399e-08	4.55932988526036e-05	4.34109898376533	c2.all.v2024.1.Hs.symbols
GOCC_DENDRITIC_TREE	0.0898661567877629	8.37381144107655e-08	5.21383950544848e-05	4.28284234159325	c5.all.v2024.1.Hs.symbols
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	0.105105105105105	9.93123411516138e-08	5.66825187122836e-05	4.24655085993229	c5.all.v2024.1.Hs.symbols
RIGGI_EWING_SARCOMA_PROGENITOR_UP	0.0994764397905759	1.37211510075603e-07	6.68391568455783e-05	4.17496903722901	c2.all.v2024.1.Hs.symbols
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	0.0751381215469613	1.61052043743216e-07	6.97355349408127e-05	4.15654586327845	c2.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.168224299065421	1.56900642088358e-07	8.26624998202434e-05	4.08269146523237	c5.all.v2024.1.Hs.symbols
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.125628140703518	2.75920209900352e-07	0.000107526105798167	3.96848608246769	c2.all.v2024.1.Hs.symbols
GOBP_CELL_CELL_SIGNALING	0.0735607675906183	2.22857802675806e-07	0.0001090252207519	3.96247302530361	c5.all.v2024.1.Hs.symbols
GOCC_NEURON_SPINE	0.138364779874214	2.4487033611305e-07	0.0001091648669406	3.96191711024721	c5.all.v2024.1.Hs.symbols
