Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
FLORIO_NEOCORTEX_BASAL_RADIAL_GLIA_DN	0.176795580110497	2.86469720326737e-16	9.22168524428636e-13	12.0351897052572	c2.all.v2024.1.Hs.symbols
GOBERT_OLIGODENDROCYTE_DIFFERENTIATION_UP	0.100529100529101	4.37980776266272e-16	9.22168524428636e-13	12.0351897052572	c2.all.v2024.1.Hs.symbols
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	0.177142857142857	8.0118604633582e-16	1.12459814704005e-12	11.9490026363974	c2.all.v2024.1.Hs.symbols
CROONQUIST_IL6_DEPRIVATION_DN	0.230769230769231	1.76546670296273e-13	1.85859507154402e-10	9.73081521880774	c2.all.v2024.1.Hs.symbols
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	0.173333333333333	3.07559379940326e-13	2.59026509785742e-10	9.58665578624887	c2.all.v2024.1.Hs.symbols
CROONQUIST_NRAS_SIGNALING_DN	0.260869565217391	1.00471149837316e-12	6.68309801395892e-10	9.1750221694899	c2.all.v2024.1.Hs.symbols
AFFAR_YY1_TARGETS_DN	0.141509433962264	1.11094006406346e-12	6.68309801395892e-10	9.1750221694899	c2.all.v2024.1.Hs.symbols
FISCHER_DREAM_TARGETS	0.0735607675906183	1.83813566703032e-12	9.67548661733087e-10	9.0143271834246	c2.all.v2024.1.Hs.symbols
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	0.173913043478261	2.37487402109394e-12	1.11117716698073e-09	8.95421669127706	c2.all.v2024.1.Hs.symbols
KOBAYASHI_EGFR_SIGNALING_24HR_DN	0.125	1.2814523985647e-11	5.39619605035594e-09	8.26791228026754	c2.all.v2024.1.Hs.symbols
FISCHER_G2_M_CELL_CYCLE	0.125	5.99065265052833e-11	2.29333075557953e-08	7.63953330464035	c2.all.v2024.1.Hs.symbols
MARSON_BOUND_BY_E2F4_UNSTIMULATED	0.0787518573551263	7.88949073725158e-11	2.56265481683404e-08	7.591309888252	c2.all.v2024.1.Hs.symbols
MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	0.0875486381322957	7.91130672496855e-11	2.56265481683404e-08	7.591309888252	c2.all.v2024.1.Hs.symbols
LE_EGR2_TARGETS_UP	0.174311926605505	4.56216564709656e-10	1.37223425285169e-07	6.86257174428754	c2.all.v2024.1.Hs.symbols
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	0.163934426229508	4.93606863596596e-10	1.38571900173684e-07	6.8583248277095	c2.all.v2024.1.Hs.symbols
GAVIN_FOXP3_TARGETS_CLUSTER_P6	0.20253164556962	1.10728219636277e-09	2.75549757217848e-07	6.55979996728774	c2.all.v2024.1.Hs.symbols
LINDGREN_BLADDER_CANCER_CLUSTER_1_DN	0.0977011494252874	1.11240699897968e-09	2.75549757217848e-07	6.55979996728774	c2.all.v2024.1.Hs.symbols
ODONNELL_TFRC_TARGETS_DN	0.159663865546218	2.13202957859067e-09	4.98776475302518e-07	6.302094038127	c2.all.v2024.1.Hs.symbols
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	0.192771084337349	2.38008518752081e-09	5.2750203813948e-07	6.27777585801886	c2.all.v2024.1.Hs.symbols
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_UP	0.155737704918033	3.27844377192376e-09	6.90276336178549e-07	6.16097701469402	c2.all.v2024.1.Hs.symbols
BURTON_ADIPOGENESIS_3	0.173469387755102	4.10572468684442e-09	8.23295555061992e-07	6.08444422931976	c2.all.v2024.1.Hs.symbols
RHODES_UNDIFFERENTIATED_CANCER	0.208955223880597	8.01908426016124e-09	1.53492562816086e-06	5.81391266257235	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.075503355704698	8.78625496696794e-09	1.60864868112617e-06	5.79353879276106	c2.all.v2024.1.Hs.symbols
BENPORATH_PROLIFERATION	0.138888888888889	9.6887214306354e-09	1.69996691435024e-06	5.76955953100699	c2.all.v2024.1.Hs.symbols
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	0.0958466453674121	1.70300176825716e-08	2.86853617845235e-06	5.54233966835322	c2.all.v2024.1.Hs.symbols
