Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BENPORATH_SUZ12_TARGETS	0.0356164383561644	1.91014208257506e-10	3.97118538967356e-07	6.4010798379845	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.0325814536340852	1.28878091431794e-09	1.3396877604335e-06	5.872996410383	c2.all.v2024.1.Hs.symbols
REACTOME_NEURONAL_SYSTEM	0.0448717948717949	2.87363131394359e-07	0.000199142650056291	3.70083571787077	c2.all.v2024.1.Hs.symbols
MEISSNER_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0725806451612903	8.45534631031059e-07	0.000439466624478393	3.35707410205837	c2.all.v2024.1.Hs.symbols
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.0681818181818182	1.43065704957967e-06	0.000594867201215226	3.22557997581184	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.0268456375838926	2.84375407250389e-06	0.000985360786122597	3.00640472510296	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.0389221556886228	3.80868898066451e-06	0.00111105804448195	2.95426325182445	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.041958041958042	4.27535563052217e-06	0.00111105804448195	2.95426325182445	c2.all.v2024.1.Hs.symbols
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	0.0238353196099675	5.88149187863822e-06	0.00135862462396543	2.86690051843998	c2.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_MEMBRANE	0.0533333333333333	4.37572535167163e-07	0.00154156804139392	2.81203730171932	c5.all.v2024.1.Hs.symbols
GOCC_RECEPTOR_COMPLEX	0.0439189189189189	1.28482959719191e-06	0.00226322733545355	2.64527182007345	c5.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0233333333333333	1.36707946172722e-05	0.00249005160124634	2.60379165294268	c2.all.v2024.1.Hs.symbols
MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0517241379310345	1.37812231522921e-05	0.00249005160124634	2.60379165294268	c2.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.0321100917431193	1.43725922149861e-05	0.00249005160124634	2.60379165294268	c2.all.v2024.1.Hs.symbols
YOSHIMURA_MAPK8_TARGETS_UP	0.0238095238095238	1.68645165879108e-05	0.00269702538355897	2.56911496608411	c2.all.v2024.1.Hs.symbols
GOBP_SYNAPTIC_SIGNALING	0.0298507462686567	2.94511333477872e-06	0.00318462308260134	2.49694196139236	c5.all.v2024.1.Hs.symbols
GOCC_SYNAPTIC_MEMBRANE	0.04	3.61580821186641e-06	0.00318462308260134	2.49694196139236	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.0714285714285714	4.73594263491963e-06	0.00333694518056437	2.47665092788939	c5.all.v2024.1.Hs.symbols
REACTOME_LONG_TERM_POTENTIATION	0.19047619047619	2.37234544268703e-05	0.00352293298239024	2.45309561842959	c2.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPSE	0.029616724738676	6.36409253365456e-06	0.00373678299934417	2.4275021215573	c5.all.v2024.1.Hs.symbols
GOCC_CELL_BODY	0.0318471337579618	1.00047230910551e-05	0.00503523420711243	2.29798032401981	c5.all.v2024.1.Hs.symbols
GOBP_CELL_CELL_SIGNALING	0.0230607966457023	1.38249195676181e-05	0.00593450514520251	2.22661548929035	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION	0.0377358490566038	1.57467166015355e-05	0.00593450514520251	2.22661548929035	c5.all.v2024.1.Hs.symbols
HP_IMPULSIVITY	0.0601503759398496	1.684503305479e-05	0.00593450514520251	2.22661548929035	c5.all.v2024.1.Hs.symbols
GOMF_MOLECULAR_TRANSDUCER_ACTIVITY	0.0266457680250784	2.51098426224551e-05	0.00775713213314665	2.11029881082374	c5.all.v2024.1.Hs.symbols
