Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BENPORATH_SUZ12_TARGETS	0.0356164383561644	2.50089088384291e-11	4.7091775342762e-08	7.32705493650501	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.0325814536340852	1.7670025103309e-10	1.66363286347654e-07	6.77894250915013	c2.all.v2024.1.Hs.symbols
REACTOME_NEURONAL_SYSTEM	0.0448717948717949	9.7583568467777e-08	6.1249953141608e-05	4.21289423921402	c2.all.v2024.1.Hs.symbols
MEISSNER_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0725806451612903	4.08615241546663e-07	0.000192355624958092	3.71589510931796	c2.all.v2024.1.Hs.symbols
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	0.0681818181818182	6.94748290641259e-07	0.00022191864944545	3.65380619929608	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.0268456375838926	7.07122621706159e-07	0.00022191864944545	3.65380619929608	c2.all.v2024.1.Hs.symbols
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	0.0238353196099675	1.34144532749984e-06	0.000339619055513696	3.46900795013517	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.0389221556886228	1.44288499421645e-06	0.000339619055513696	3.46900795013517	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.041958041958042	1.72739672980213e-06	0.000361409782468602	3.44200009633891	c2.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_MEMBRANE	0.0533333333333333	1.57038346085196e-07	0.000525764382693237	3.27920883801611	c5.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0233333333333333	3.40254902149075e-06	0.000640699980746707	3.19334528905886	c2.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.0321100917431193	5.27950919514119e-06	0.000903755983131896	3.04394881452998	c2.all.v2024.1.Hs.symbols
GOBP_SYNAPTIC_SIGNALING	0.0298507462686567	7.31021875177291e-07	0.00122373061904679	2.91231417331562	c5.all.v2024.1.Hs.symbols
GOCC_SYNAPTIC_MEMBRANE	0.04	1.2543563342555e-06	0.00139986166902914	2.85391487813999	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPSE	0.029616724738676	1.72453871456195e-06	0.00144343890408836	2.84060159361826	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	0.0714285714285714	2.35866794074534e-06	0.00149177364557665	2.82629706958102	c5.all.v2024.1.Hs.symbols
GOCC_RECEPTOR_COMPLEX	0.0405405405405405	2.88734909539538e-06	0.00149177364557665	2.82629706958102	c5.all.v2024.1.Hs.symbols
GOCC_CELL_BODY	0.0318471337579618	3.11900105108618e-06	0.00149177364557665	2.82629706958102	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION	0.0377358490566038	6.02706160362956e-06	0.00252232528111897	2.5981989071818	c5.all.v2024.1.Hs.symbols
GOCC_SOMATODENDRITIC_COMPARTMENT	0.0254237288135593	7.0768187525737e-06	0.00263257657595742	2.57961898727179	c5.all.v2024.1.Hs.symbols
REACTOME_LONG_TERM_POTENTIATION	0.19047619047619	1.6930572046205e-05	0.00265668893025034	2.57565929383383	c2.all.v2024.1.Hs.symbols
HP_IMPULSIVITY	0.0601503759398496	8.50689845456532e-06	0.00284810960258847	2.54544330194407	c5.all.v2024.1.Hs.symbols
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	0.0432692307692308	2.86148159744067e-05	0.00414474603690829	2.38250207504093	c2.all.v2024.1.Hs.symbols
MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0459770114942529	5.27655305274843e-05	0.00697960509890012	2.1561691487551	c2.all.v2024.1.Hs.symbols
FIGUEROA_AML_METHYLATION_CLUSTER_5_DN	0.142857142857143	5.55996157639415e-05	0.00697960509890012	2.1561691487551	c2.all.v2024.1.Hs.symbols
