Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.0542168674698795	5.17328857702927e-08	4.56713543030982e-05	4.34035610996861	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.0221914008321775	8.02660005326857e-08	4.56713543030982e-05	4.34035610996861	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.0374531835205993	2.86866141850484e-07	0.000102753980652619	3.98820134471243	c2.all.v2024.1.Hs.symbols
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_DN	0.0529801324503311	3.61173921450331e-07	0.000102753980652619	3.98820134471243	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.0365853658536585	1.44872221211391e-06	0.000329729175477126	3.4818426234115	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0166270783847981	1.7473482278198e-05	0.00331413713876489	2.47962952446932	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.0179910044977511	3.59253701932853e-05	0.00584043875427981	2.23355452593467	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3_UNMETHYLATED	0.0531914893617021	6.38633715527078e-05	0.00908456460337269	2.04169588232225	c2.all.v2024.1.Hs.symbols
YOSHIMURA_MAPK8_TARGETS_UP	0.0159362549800797	0.000115475126362012	0.0146011881999967	1.83561180122207	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.0159651669085631	0.000227711625918428	0.0259135830295171	1.58647253366166	c2.all.v2024.1.Hs.symbols
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	0.0396825396825397	0.000254443052738345	0.0263232903651124	1.57965982561668	c2.all.v2024.1.Hs.symbols
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.0295566502463054	0.00029759164123448	0.0282216073104032	1.54941825542361	c2.all.v2024.1.Hs.symbols
VANDESLUIS_COMMD1_TARGETS_GROUP_3_DN	0.1	0.000324927979222999	0.0284436954119825	1.54601398062956	c2.all.v2024.1.Hs.symbols
LEIN_ASTROCYTE_MARKERS	0.0967741935483871	0.000358588178349043	0.0291480962115151	1.53538980563341	c2.all.v2024.1.Hs.symbols
RODWELL_AGING_KIDNEY_NO_BLOOD_DN	0.036231884057971	0.000387472006947354	0.0293962095937393	1.53170866477994	c2.all.v2024.1.Hs.symbols
