Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.0542168674698795	1.77784693428711e-08	1.95563162771582e-05	4.70871294766542	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.0374531835205993	8.98949925224035e-08	3.47365256869174e-05	4.45921362142305	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.0208044382801664	9.47359791461382e-08	3.47365256869174e-05	4.45921362142305	c2.all.v2024.1.Hs.symbols
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_DN	0.0529801324503311	1.41199339985889e-07	3.88298184961195e-05	4.41083463949047	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.0365853658536585	5.16192496986193e-07	0.000113562349336962	3.9447656315255	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0154394299287411	2.11129846440844e-05	0.00387071385141548	2.41220893339421	c2.all.v2024.1.Hs.symbols
YOSHIMURA_MAPK8_TARGETS_UP	0.0159362549800797	3.41735432054622e-05	0.00495233090204821	2.30519034457511	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3_UNMETHYLATED	0.0531914893617021	3.60169520148961e-05	0.00495233090204821	2.30519034457511	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.0164917541229385	5.6232721601781e-05	0.00687288819577323	2.16286072088851	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.0159651669085631	7.53549199821045e-05	0.00828904119803149	2.08149570183647	c2.all.v2024.1.Hs.symbols
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	0.0396825396825397	0.000145406272239615	0.0145406272239615	1.83741685936211	c2.all.v2024.1.Hs.symbols
RODWELL_AGING_KIDNEY_NO_BLOOD_DN	0.036231884057971	0.00022252408367175	0.0193873140712554	1.71248235414107	c2.all.v2024.1.Hs.symbols
VANDESLUIS_COMMD1_TARGETS_GROUP_3_DN	0.1	0.000229122802660291	0.0193873140712554	1.71248235414107	c2.all.v2024.1.Hs.symbols
LEIN_ASTROCYTE_MARKERS	0.0967741935483871	0.000252952670217809	0.0198748526599707	1.70169608225383	c2.all.v2024.1.Hs.symbols
WP_SPINAL_CORD_INJURY	0.0434782608695652	0.00049716943264686	0.0364590917274364	1.43819415473414	c2.all.v2024.1.Hs.symbols
REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	0.075	0.000541975738998856	0.0372608320561713	1.42874745128172	c2.all.v2024.1.Hs.symbols
SABATES_COLORECTAL_ADENOMA_DN	0.0292397660818713	0.000596622118397312	0.038604960602179	1.41335688642324	c2.all.v2024.1.Hs.symbols
HALLMARK_KRAS_SIGNALING_UP	0.0256410256410256	0.00228785052175118	0.0457570104350236	1.33954235820948	h.all.v2024.1.Hs.symbols
