Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.270783847980998	1.74190704988293e-42	8.90985456015117e-39	38.0501293851033	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.262135922330097	5.66228456059723e-33	1.44812927637274e-29	28.8391926663784	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.283154121863799	1.14872351363275e-31	1.95857359074383e-28	27.708060105784	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.363295880149813	8.15939050867125e-29	1.04338206129634e-25	24.9815566343062	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.251874062968516	4.10190641106387e-27	4.19625025851834e-24	23.3771386189884	c2.all.v2024.1.Hs.symbols
FOROUTAN_TGFB_EMT_UP	0.404255319148936	3.05360053588191e-26	2.60319445683933e-23	22.5844933891793	c2.all.v2024.1.Hs.symbols
FOROUTAN_PRODRANK_TGFB_EMT_UP	0.408839779005525	6.00312372216206e-26	4.38656826269413e-23	22.3578751078691	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME_ASSOCIATED	0.299168975069252	6.41236067207835e-24	4.0999031047101e-21	20.387226407082	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.2322206095791	7.55420115161158e-22	4.29330432116592e-19	18.3672083264475	c2.all.v2024.1.Hs.symbols
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.311643835616438	1.15903243319369e-21	5.92845089578572e-19	18.2270587729598	c2.all.v2024.1.Hs.symbols
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	0.284960422163588	8.47628770803234e-23	7.67612614839409e-19	18.1148578967425	c5.all.v2024.1.Hs.symbols
MEISSNER_NPC_HCP_WITH_H3K4ME2	0.282666666666667	2.23010185644823e-21	1.03699736324843e-18	17.9842223478811	c2.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.272264631043257	3.28750275622484e-20	1.40129804984084e-17	16.8534694823913	c2.all.v2024.1.Hs.symbols
FOROUTAN_INTEGRATED_TGFB_EMT_UP	0.439655172413793	6.03090582394637e-20	2.37292948380659e-17	16.6247151674922	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.321138211382114	7.73743753198874e-20	2.82692806972303e-17	16.5486852418535	c2.all.v2024.1.Hs.symbols
MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	0.311787072243346	1.2070494611794e-19	4.11603866262177e-17	16.3855205544916	c2.all.v2024.1.Hs.symbols
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	0.27154046997389	1.40739374944698e-19	4.49926189276331e-17	16.3468587267118	c2.all.v2024.1.Hs.symbols
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	0.211491442542787	5.03368213328368e-19	1.51454612422035e-16	15.8197174960589	c2.all.v2024.1.Hs.symbols
GOBP_CELL_CELL_SIGNALING	0.207053469852105	5.19446629047483e-20	1.96027912670589e-16	15.7076820844817	c5.all.v2024.1.Hs.symbols
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	0.204845814977974	6.49385753104867e-20	1.96027912670589e-16	15.7076820844817	c5.all.v2024.1.Hs.symbols
GOCC_PLASMA_MEMBRANE_REGION	0.205915813424346	1.24209726667586e-19	2.81210821175414e-16	15.5509679713964	c5.all.v2024.1.Hs.symbols
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	0.286195286195286	2.80366346570499e-18	5.07799526908487e-15	14.2943077080726	c5.all.v2024.1.Hs.symbols
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	0.198888888888889	8.87164030436194e-18	1.3390262432717e-14	13.8732109112655	c5.all.v2024.1.Hs.symbols
GOBP_TUBE_DEVELOPMENT	0.200692041522491	1.07286577876326e-17	1.38798178464001e-14	13.857616233364	c5.all.v2024.1.Hs.symbols
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.242424242424242	5.84134228128882e-17	1.65991476493291e-14	13.7799142120019	c2.all.v2024.1.Hs.symbols
