Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
FOROUTAN_TGFB_EMT_UP	0.404255319148936	3.64304333132304e-56	1.61313958710984e-52	51.792328050907	c2.all.v2024.1.Hs.symbols
FOROUTAN_PRODRANK_TGFB_EMT_UP	0.408839779005525	4.12965379151048e-55	9.1430534944042e-52	51.0389087392437	c2.all.v2024.1.Hs.symbols
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.222943722943723	6.84173414226753e-48	1.00983995939869e-44	43.9957474482543	c2.all.v2024.1.Hs.symbols
FOROUTAN_INTEGRATED_TGFB_EMT_UP	0.439655172413793	4.98388163452674e-40	5.51715696942111e-37	36.2582846596921	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.149643705463183	4.26769412647818e-39	3.77946991840908e-36	35.4225691069493	c2.all.v2024.1.Hs.symbols
CHICAS_RB1_TARGETS_CONFLUENT	0.183556405353728	6.2335682759849e-37	4.60037338767686e-34	33.33720691753	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.159498207885305	2.15605244655109e-29	1.36385717618975e-26	25.8652311068352	c2.all.v2024.1.Hs.symbols
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.307692307692308	4.3718573947675e-26	2.0984915494884e-24	23.6780927753293	h.all.v2024.1.Hs.symbols
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.208904109589041	1.15963632523089e-26	6.41858706015295e-24	23.1925605637558	c2.all.v2024.1.Hs.symbols
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	0.122246696035242	1.51885924923331e-26	1.13595483250159e-22	21.9446389365698	c5.all.v2024.1.Hs.symbols
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	0.166281755196305	6.38463211399457e-25	3.14123900008533e-22	21.5028990191986	c2.all.v2024.1.Hs.symbols
PASINI_SUZ12_TARGETS_DN	0.199324324324324	1.09114673422103e-24	4.62563477471653e-22	21.3348286607109	c2.all.v2024.1.Hs.symbols
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.1712158808933	1.14909626291513e-24	4.62563477471653e-22	21.3348286607109	c2.all.v2024.1.Hs.symbols
MEBARKI_HCC_PROGENITOR_WNT_UP	0.273885350318471	5.09704505212448e-24	1.88080962423393e-21	20.7256551615623	c2.all.v2024.1.Hs.symbols
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	0.28	6.71655212999142e-24	2.28776098704631e-21	20.6405893502588	c2.all.v2024.1.Hs.symbols
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.124031007751938	3.81094438650115e-23	1.20534726738765e-20	19.9188878123567	c2.all.v2024.1.Hs.symbols
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP	0.179941002949853	4.85873595182892e-23	1.4342988529799e-20	19.8433603488931	c2.all.v2024.1.Hs.symbols
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.15839243498818	5.23136169538888e-22	1.37940180206223e-19	18.8603092109807	c2.all.v2024.1.Hs.symbols
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.150743099787686	5.295806376481e-22	1.37940180206223e-19	18.8603092109807	c2.all.v2024.1.Hs.symbols
GOBP_REGULATION_OF_LOCOMOTION	0.119804400977995	1.13768275824742e-22	3.16968008177406e-19	18.4989845692433	c5.all.v2024.1.Hs.symbols
GOBP_LOCOMOTION	0.11400651465798	1.27143204242842e-22	3.16968008177406e-19	18.4989845692433	c5.all.v2024.1.Hs.symbols
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	0.215596330275229	2.40867453393776e-21	5.92533935348688e-19	18.2272867718788	c2.all.v2024.1.Hs.symbols
GOBP_TUBE_DEVELOPMENT	0.115340253748558	6.81728879445041e-22	1.04962409004664e-18	17.97896621031	c5.all.v2024.1.Hs.symbols
GOBP_EPITHELIUM_DEVELOPMENT	0.114512471655329	7.01714193105119e-22	1.04962409004664e-18	17.97896621031	c5.all.v2024.1.Hs.symbols
NABA_MATRISOME_ASSOCIATED	0.166204986149584	7.41754021424402e-21	1.72867726677224e-18	17.7622860792204	c2.all.v2024.1.Hs.symbols
