Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BENPORATH_ES_WITH_H3K27ME3	0.19001386962552	3.84810324875752e-30	1.25843084514603e-26	25.9001706453494	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.292134831460674	5.69039495883351e-30	1.25843084514603e-26	25.9001706453494	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.179910044977511	3.43082798028895e-24	5.05818405227267e-21	20.2960053720197	c2.all.v2024.1.Hs.symbols
MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	0.254752851711027	3.64759143340062e-22	4.03332422748273e-19	18.3943368648888	c2.all.v2024.1.Hs.symbols
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.283132530120482	7.05704620748441e-18	6.24266307514071e-15	14.2046301038891	c2.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.193384223918575	2.20852327267237e-17	1.62804973917165e-14	13.7883323309469	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.231707317073171	5.79043225790035e-17	3.65872598238475e-14	13.4366701154641	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.150943396226415	2.04031397335616e-15	1.12803858801929e-12	11.947676043724	c2.all.v2024.1.Hs.symbols
GOCC_SOMATODENDRITIC_COMPARTMENT	0.148425787106447	3.37920249758763e-15	2.67970758058699e-11	10.5719125951751	c5.all.v2024.1.Hs.symbols
GOBP_NERVOUS_SYSTEM_PROCESS	0.146706586826347	1.01225571974081e-14	4.01359392877233e-11	10.3964665689224	c5.all.v2024.1.Hs.symbols
VECCHI_GASTRIC_CANCER_EARLY_DN	0.210526315789474	8.8536150035563e-14	4.35105990674773e-11	10.3614049371645	c2.all.v2024.1.Hs.symbols
GOBP_CELL_CELL_SIGNALING	0.133105802047782	2.61122104074258e-14	6.90232761769622e-11	10.1610044308485	c5.all.v2024.1.Hs.symbols
ZWANG_TRANSIENTLY_UP_BY_2ND_EGF_PULSE_ONLY	0.135696821515892	3.66563932028084e-13	1.62131227136021e-10	9.79013333020547	c2.all.v2024.1.Hs.symbols
REACTOME_NEURONAL_SYSTEM	0.195729537366548	4.05643396423274e-13	1.63105522034558e-10	9.78753133541257	c2.all.v2024.1.Hs.symbols
GOCC_PLASMA_MEMBRANE_REGION	0.130830489192264	1.50551856082345e-13	2.84875307236075e-10	9.54534519342768	c5.all.v2024.1.Hs.symbols
GOBP_BEHAVIOR	0.16025641025641	1.9842112410184e-13	2.84875307236075e-10	9.54534519342768	c5.all.v2024.1.Hs.symbols
GOCC_CELL_BODY	0.163636363636364	2.15542477101696e-13	2.84875307236075e-10	9.54534519342768	c5.all.v2024.1.Hs.symbols
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN	0.137119113573407	4.24160817627128e-12	1.56338608030399e-09	8.80593375912706	c2.all.v2024.1.Hs.symbols
GOCC_PRESYNAPSE	0.156862745098039	1.81490138417996e-12	1.8940391608765e-09	8.72261104583077	c5.all.v2024.1.Hs.symbols
GOCC_SYNAPTIC_MEMBRANE	0.184931506849315	1.9107582959662e-12	1.8940391608765e-09	8.72261104583077	c5.all.v2024.1.Hs.symbols
HALLMARK_KRAS_SIGNALING_DN	0.267326732673267	7.1690640783367e-11	3.44115075760162e-09	8.46329630042171	h.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_MEMBRANE	0.21105527638191	7.13316966587197e-12	6.28511505004053e-09	8.20168676807501	c5.all.v2024.1.Hs.symbols
GOBP_SYNAPTIC_SIGNALING	0.144144144144144	8.953971952307e-12	6.68558956953803e-09	8.17486028840095	c5.all.v2024.1.Hs.symbols
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.165760869565217	9.2738316853617e-12	6.68558956953803e-09	8.17486028840095	c5.all.v2024.1.Hs.symbols
YOSHIMURA_MAPK8_TARGETS_UP	0.131474103585657	5.02278664766638e-11	1.70890656481757e-08	7.76728168186291	c2.all.v2024.1.Hs.symbols
