Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BENPORATH_ES_WITH_H3K27ME3	0.0547752808988764	2.15750478319448e-13	5.97413074466552e-10	9.22372527703396	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.0881226053639847	2.50480214912112e-12	3.46789857545819e-09	8.45993361268457	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.052790346907994	1.26677530063083e-11	1.16923360248226e-08	7.93209871199154	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.0496350364963504	1.36718047517532e-10	9.46430683940118e-08	7.02391118802313	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.0829875518672199	2.14751663368869e-10	1.1892947117368e-07	6.92471051222629	c2.all.v2024.1.Hs.symbols
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.0963855421686747	1.70177619372782e-09	7.85369713405391e-07	6.10492585065222	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0421686746987952	5.39673934902015e-09	2.13479589391954e-06	5.67064364119251	c2.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.0594315245478036	6.39751538717674e-09	2.21434001338655e-06	5.65475569212944	c2.all.v2024.1.Hs.symbols
DELYS_THYROID_CANCER_DN	0.0842105263157895	1.20818216069946e-08	3.71717378108533e-06	5.42978713478746	c2.all.v2024.1.Hs.symbols
SMID_BREAST_CANCER_LUMINAL_B_DN	0.0565552699228792	3.40649841199921e-08	9.43259410282581e-06	5.02536885343318	c2.all.v2024.1.Hs.symbols
REACTOME_NEURONAL_SYSTEM	0.0659340659340659	6.56539694213259e-08	1.65268946661501e-05	4.78180874086584	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.0452961672473868	1.58822643150733e-07	3.66483249070317e-05	4.43594587096169	c2.all.v2024.1.Hs.symbols
SABATES_COLORECTAL_ADENOMA_DN	0.08	1.93009015031603e-07	4.11109202017314e-05	4.38604280212839	c2.all.v2024.1.Hs.symbols
YOSHIMURA_MAPK8_TARGETS_UP	0.0396825396825397	2.90235485258598e-07	5.36424969752725e-05	4.27049101461345	c2.all.v2024.1.Hs.symbols
LEE_NEURAL_CREST_STEM_CELL_UP	0.0930232558139535	2.90587740927803e-07	5.36424969752725e-05	4.27049101461345	c2.all.v2024.1.Hs.symbols
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	0.0568475452196382	5.97127403677196e-08	0.000174820691806146	3.75740716549225	c5.all.v2024.1.Hs.symbols
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	0.0443425076452599	9.81138350019496e-08	0.000174820691806146	3.75740716549225	c5.all.v2024.1.Hs.symbols
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	0.0476190476190476	1.22261977026819e-07	0.000174820691806146	3.75740716549225	c5.all.v2024.1.Hs.symbols
GOMF_CALCIUM_ION_BINDING	0.0513392857142857	1.85945765040023e-07	0.000174820691806146	3.75740716549225	c5.all.v2024.1.Hs.symbols
GOBP_MONOATOMIC_CATION_TRANSPORT	0.042962962962963	1.91983466462183e-07	0.000174820691806146	3.75740716549225	c5.all.v2024.1.Hs.symbols
GOBP_MONOATOMIC_ION_TRANSPORT	0.04	2.09617136458208e-07	0.000174820691806146	3.75740716549225	c5.all.v2024.1.Hs.symbols
BOQUEST_STEM_CELL_UP	0.0646551724137931	1.09469185255152e-06	0.00018492445192665	3.73300565977265	c2.all.v2024.1.Hs.symbols
ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	0.0519125683060109	1.13532527365585e-06	0.00018492445192665	3.73300565977265	c2.all.v2024.1.Hs.symbols
SMID_BREAST_CANCER_NORMAL_LIKE_UP	0.0555555555555556	1.70664123194605e-06	0.000262538309514368	3.58080731550847	c2.all.v2024.1.Hs.symbols
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	0.0526315789473684	1.81260564856413e-06	0.000264163423203899	3.57812731617043	c2.all.v2024.1.Hs.symbols
