Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BOQUEST_STEM_CELL_UP	0.0474137931034483	1.25308720368806e-09	1.77687765482967e-06	5.7503424740864	c2.all.v2024.1.Hs.symbols
SMID_BREAST_CANCER_LUMINAL_B_DN	0.0308483290488432	2.59398616177255e-08	1.3657972303099e-05	4.86461377231929	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.024390243902439	2.88955690474591e-08	1.3657972303099e-05	4.86461377231929	c2.all.v2024.1.Hs.symbols
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	0.185185185185185	5.79863044626292e-08	2.05561449320021e-05	4.68705832896376	c2.all.v2024.1.Hs.symbols
NABA_CORE_MATRISOME	0.0447761194029851	7.61841285202177e-08	2.16058188483337e-05	4.66542926952522	c2.all.v2024.1.Hs.symbols
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.0650406504065041	4.30733742035224e-08	5.16733591399466e-05	4.28673330527215	c5.all.v2024.1.Hs.symbols
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	0.0359477124183007	4.89471013715408e-08	5.16733591399466e-05	4.28673330527215	c5.all.v2024.1.Hs.symbols
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	0.0310077519379845	5.64119641265793e-08	5.16733591399466e-05	4.28673330527215	c5.all.v2024.1.Hs.symbols
KIM_GLIS2_TARGETS_UP	0.0882352941176471	2.48361845570556e-07	5.3405243218505e-05	4.2724161027265	c2.all.v2024.1.Hs.symbols
LANDIS_ERBB2_BREAST_TUMORS_65_DN	0.138888888888889	2.63636602630138e-07	5.3405243218505e-05	4.2724161027265	c2.all.v2024.1.Hs.symbols
ONDER_CDH1_TARGETS_2_UP	0.0362903225806452	4.54496049217871e-07	8.05594247238676e-05	4.09388364374716	c2.all.v2024.1.Hs.symbols
VECCHI_GASTRIC_CANCER_EARLY_DN	0.0357142857142857	5.19898258604383e-07	8.19128589667795e-05	4.08664791582262	c2.all.v2024.1.Hs.symbols
MA_RAT_AGING_DN	0.0546875	6.27442443793378e-07	8.6750840390161e-05	4.061726309332	c2.all.v2024.1.Hs.symbols
DELYS_THYROID_CANCER_DN	0.0421052631578947	6.87523855290813e-07	8.6750840390161e-05	4.061726309332	c2.all.v2024.1.Hs.symbols
LANDIS_ERBB2_BREAST_TUMORS_324_DN	0.0534351145038168	7.34139693005594e-07	8.6750840390161e-05	4.061726309332	c2.all.v2024.1.Hs.symbols
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.0307167235494881	1.8234981749036e-06	0.000198901570154869	3.7013617884849	c2.all.v2024.1.Hs.symbols
CARRILLOREIXACH_MRS3_VS_LOWER_RISK_HEPATOBLASTOMA_DN	0.0451612903225806	2.27517054857553e-06	0.000230442274134293	3.63743784756154	c2.all.v2024.1.Hs.symbols
SMID_BREAST_CANCER_LUMINAL_A_UP	0.0847457627118644	3.26981269736516e-06	0.000309106293657586	3.50989215225493	c2.all.v2024.1.Hs.symbols
SWEET_LUNG_CANCER_KRAS_DN	0.0276923076923077	4.26503970969827e-06	0.000377989144272009	3.42252067278305	c2.all.v2024.1.Hs.symbols
SABATES_COLORECTAL_ADENOMA_DN	0.04	5.09060653416941e-06	0.000424616474438366	3.3720031599136	c2.all.v2024.1.Hs.symbols
RIGGI_EWING_SARCOMA_PROGENITOR_DN	0.0374331550802139	7.87337578618442e-06	0.000620247048044972	3.20743529399784	c2.all.v2024.1.Hs.symbols
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.0414507772020725	2.52129024828744e-05	0.00063032256207186	3.20043714724859	h.all.v2024.1.Hs.symbols
BERENJENO_TRANSFORMED_BY_RHOA_DN	0.0237467018469657	1.47100765882475e-05	0.00109783624221763	2.95946243621124	c2.all.v2024.1.Hs.symbols
BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN	0.0975609756097561	1.91863142989232e-05	0.00135956743091829	2.86659924769437	c2.all.v2024.1.Hs.symbols
NABA_ECM_GLYCOPROTEINS	0.0416666666666667	2.01346375523865e-05	0.00135956743091829	2.86659924769437	c2.all.v2024.1.Hs.symbols
