Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.0881226053639847	2.13612725720105e-15	4.83405598304599e-12	11.3156883243489	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.0788381742738589	5.1248773361092e-12	5.79879870580756e-09	8.2366619666914	c2.all.v2024.1.Hs.symbols
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.0963855421686747	1.31580873228614e-11	9.92558387054508e-09	8.00324393652479	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.0421348314606742	2.66345414194439e-11	1.50684918080504e-08	7.82193021365879	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.0392156862745098	3.15897285630841e-09	1.42975111476519e-06	5.84473955616532	c2.all.v2024.1.Hs.symbols
REACTOME_NEURONAL_SYSTEM	0.0586080586080586	2.00377821295715e-08	7.55758349320338e-06	5.1216170462094	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.0364963503649635	2.76546028369844e-08	8.94033803144223e-06	5.04864606035233	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0325301204819277	7.71852258889132e-08	2.18337707733263e-05	4.6608712535429	c2.all.v2024.1.Hs.symbols
YOSHIMURA_MAPK8_TARGETS_UP	0.0330687830687831	1.85499458282934e-07	4.66428082326978e-05	4.33121530980887	c2.all.v2024.1.Hs.symbols
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	0.036697247706422	7.14284467292068e-08	0.000243686516248988	3.61316850069081	c5.all.v2024.1.Hs.symbols
GOBP_ADULT_BEHAVIOR	0.0970873786407767	1.21638144594587e-07	0.000243686516248988	3.61316850069081	c5.all.v2024.1.Hs.symbols
GOBP_MONOATOMIC_ION_TRANSPORT	0.0325	2.09394102805441e-07	0.000243686516248988	3.61316850069081	c5.all.v2024.1.Hs.symbols
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	0.0384615384615385	2.41512900147659e-07	0.000243686516248988	3.61316850069081	c5.all.v2024.1.Hs.symbols
GOBP_BEHAVIOR	0.040948275862069	3.73100596038985e-07	0.000301166801122669	3.52119290393178	c5.all.v2024.1.Hs.symbols
GUENTHER_GROWTH_SPHERICAL_VS_ADHERENT_UP	0.25	1.45189478098061e-06	0.000328563788935912	3.48338030192312	c2.all.v2024.1.Hs.symbols
GOBP_MONOATOMIC_CATION_TRANSPORT	0.0340740740740741	5.19131168302955e-07	0.000349202232545121	3.45692298839451	c5.all.v2024.1.Hs.symbols
HALLMARK_KRAS_SIGNALING_UP	0.0617283950617284	1.15280568243754e-05	0.000357369761555636	3.4468821976197	h.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.041343669250646	2.25527059080822e-06	0.000436805803598894	3.35971160003264	c2.all.v2024.1.Hs.symbols
ZHOU_INFLAMMATORY_RESPONSE_LIVE_UP	0.043859649122807	2.31624818523497e-06	0.000436805803598894	3.35971160003264	c2.all.v2024.1.Hs.symbols
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.0531400966183575	9.28967298720279e-06	0.00161711769000307	2.79125837201756	c2.all.v2024.1.Hs.symbols
MARTENS_TRETINOIN_RESPONSE_UP	0.0398860398860399	1.5070544913792e-05	0.00243604593856509	2.61331452610599	c2.all.v2024.1.Hs.symbols
SENESE_HDAC1_AND_HDAC2_TARGETS_UP	0.0491071428571429	1.94857417145162e-05	0.00284779279881566	2.54549161250869	c2.all.v2024.1.Hs.symbols
LIN_NPAS4_TARGETS_DN	0.109090909090909	2.01346375523865e-05	0.00284779279881566	2.54549161250869	c2.all.v2024.1.Hs.symbols
ZHOU_INFLAMMATORY_RESPONSE_FIMA_UP	0.0382513661202186	2.40058155233589e-05	0.00319559767819772	2.49544790305552	c2.all.v2024.1.Hs.symbols
STOSSI_RESPONSE_TO_ESTRADIOL	0.135135135135135	3.54755620396611e-05	0.00446006649420851	2.35065866643302	c2.all.v2024.1.Hs.symbols
