Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.362650602409639	7.7665192590932e-50	4.23974286353898e-46	45.3726604821649	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.350174216027875	1.16992217459299e-30	3.19330257555156e-27	26.4957599287306	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.440613026819923	1.24042936225092e-27	2.25716796284259e-24	23.6464361225254	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.317415730337079	2.04191546312784e-27	2.78670412830371e-24	23.5549091390248	c2.all.v2024.1.Hs.symbols
MEISSNER_NPC_HCP_WITH_H3K4ME2	0.365122615803815	1.45464099265095e-22	1.58817703577631e-19	18.7991010879446	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME_ASSOCIATED	0.35656836461126	2.48225386698279e-21	2.25843730997651e-18	17.6461919601432	c2.all.v2024.1.Hs.symbols
FOROUTAN_TGFB_EMT_UP	0.445026178010471	4.44698342166076e-21	3.46801178554944e-18	17.4599194353047	c2.all.v2024.1.Hs.symbols
GOBP_CELL_CELL_ADHESION	0.297619047619048	4.43543817441864e-22	4.23318219366515e-18	17.3733330393454	c5.all.v2024.1.Hs.symbols
FOROUTAN_PRODRANK_TGFB_EMT_UP	0.440217391304348	8.69425176553311e-20	5.93274004850565e-17	16.2267446804798	c2.all.v2024.1.Hs.symbols
GOCC_PLASMA_MEMBRANE_REGION	0.271493212669683	1.77290096774748e-20	8.46028341809097e-17	16.0726150879242	c5.all.v2024.1.Hs.symbols
SMID_BREAST_CANCER_LUMINAL_B_DN	0.339331619537275	4.86844378274328e-19	2.95298162333284e-16	15.5297392556797	c2.all.v2024.1.Hs.symbols
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	0.339378238341969	6.57251880352586e-19	3.58793801484477e-16	15.4451550684271	c2.all.v2024.1.Hs.symbols
GOMF_MOLECULAR_TRANSDUCER_ACTIVITY	0.301418439716312	1.80796865256424e-19	5.16273836484475e-16	15.2871198833942	c5.all.v2024.1.Hs.symbols
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	0.335917312661499	2.16376293581088e-19	5.16273836484475e-16	15.2871198833942	c5.all.v2024.1.Hs.symbols
ONDER_CDH1_TARGETS_2_DN	0.345714285714286	2.85891253857443e-18	1.41880032255253e-15	14.8480787214668	c2.all.v2024.1.Hs.symbols
GOMF_SIGNALING_RECEPTOR_BINDING	0.259565667011375	1.29972600875408e-18	2.48091700550978e-15	14.6053877640035	c5.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.28657616892911	1.19422928734271e-17	5.43274806633654e-15	14.2649804341043	c2.all.v2024.1.Hs.symbols
LEE_BMP2_TARGETS_UP	0.286594761171032	2.68418041725333e-17	1.12714929982969e-14	13.9480185544085	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.377593360995851	9.13439148884647e-17	3.42114696284055e-14	13.4658282693461	c2.all.v2024.1.Hs.symbols
YOSHIMURA_MAPK8_TARGETS_UP	0.273809523809524	9.4004770915201e-17	3.42114696284055e-14	13.4658282693461	c2.all.v2024.1.Hs.symbols
SMID_BREAST_CANCER_NORMAL_LIKE_UP	0.34640522875817	3.19186956979272e-16	1.08902599884365e-13	12.9629617519985	c2.all.v2024.1.Hs.symbols
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	0.343137254901961	1.33770762878005e-16	2.12784693484614e-13	12.6720596159177	c5.all.v2024.1.Hs.symbols
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN	0.271604938271605	1.15432541448341e-15	3.70674261039113e-13	12.4310075695593	c2.all.v2024.1.Hs.symbols
GOBP_CELL_CELL_SIGNALING	0.256849315068493	3.74013069278849e-16	5.00980716216028e-13	12.3001789907039	c5.all.v2024.1.Hs.symbols
GOBP_CELL_JUNCTION_ORGANIZATION	0.280528052805281	4.1993354251134e-16	5.00980716216028e-13	12.3001789907039	c5.all.v2024.1.Hs.symbols
