Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
FOROUTAN_TGFB_EMT_UP	0.43455497382199	5.71737339379458e-53	2.78436084277796e-49	48.5552744824694	c2.all.v2024.1.Hs.symbols
FOROUTAN_PRODRANK_TGFB_EMT_UP	0.434782608695652	4.42350003588889e-51	1.07712225873894e-47	46.9677349993183	c2.all.v2024.1.Hs.symbols
MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	0.218323586744639	4.67174913385281e-37	7.58380609395439e-34	33.1201127797578	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.174698795180723	2.63069005517654e-36	3.20286514217743e-33	32.4944613470812	c2.all.v2024.1.Hs.symbols
FOROUTAN_INTEGRATED_TGFB_EMT_UP	0.445378151260504	1.00971950891026e-34	9.8346680167859e-32	31.0072402957255	c2.all.v2024.1.Hs.symbols
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.214750542299349	4.25820272487115e-32	3.45624121168709e-29	28.4613959556465	c2.all.v2024.1.Hs.symbols
CHICAS_RB1_TARGETS_CONFLUENT	0.202290076335878	5.65524963273377e-32	3.93443795877335e-29	28.4051172985875	c2.all.v2024.1.Hs.symbols
BASAKI_YBX1_TARGETS_UP	0.245421245421245	2.11709161288263e-25	1.2887795193423e-22	21.8898213741308	c2.all.v2024.1.Hs.symbols
MEBARKI_HCC_PROGENITOR_WNT_UP	0.302469135802469	3.76012729397036e-23	2.03464665795952e-20	19.691511000602	c2.all.v2024.1.Hs.symbols
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.316062176165803	1.12380823602504e-21	5.61904118012518e-20	19.2503377850904	h.all.v2024.1.Hs.symbols
PASINI_SUZ12_TARGETS_DN	0.222222222222222	1.89119699328646e-22	9.21012935730507e-20	19.0357342700454	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.165505226480836	6.82092144342343e-22	3.01980794813383e-19	18.5200206761547	c2.all.v2024.1.Hs.symbols
RUIZ_TNC_TARGETS_DN	0.312056737588652	1.63597085790669e-21	6.63931506500466e-19	18.1778767216609	c2.all.v2024.1.Hs.symbols
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.140485312899106	1.67752144263672e-19	6.28425340433911e-17	16.2017463109193	c2.all.v2024.1.Hs.symbols
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.208191126279863	2.60529427360151e-19	9.06270222317096e-17	16.04274228956	c2.all.v2024.1.Hs.symbols
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.17910447761194	1.0524522155863e-18	3.4169615266035e-16	15.4663599111274	c2.all.v2024.1.Hs.symbols
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	0.225225225225225	1.59301831703422e-17	4.84874950247291e-15	14.3143702519546	c2.all.v2024.1.Hs.symbols
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	0.168981481481481	1.70781829762752e-17	4.89239712320356e-15	14.3104782978712	c2.all.v2024.1.Hs.symbols
FISCHER_G2_M_CELL_CYCLE	0.220779220779221	1.84798101885478e-17	4.99981531212377e-15	14.3010460377454	c2.all.v2024.1.Hs.symbols
POOLA_INVASIVE_BREAST_CANCER_UP	0.248587570621469	2.78720389332859e-17	7.14404366342643e-15	14.1460558997624	c2.all.v2024.1.Hs.symbols
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP	0.18475073313783	3.57671153485722e-17	8.70929258737733e-15	14.0600171191456	c2.all.v2024.1.Hs.symbols
PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	0.268456375838926	4.39026928923314e-17	1.0181243542174e-14	13.9921991738145	c2.all.v2024.1.Hs.symbols
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.167452830188679	8.01496695723986e-17	1.77422223098901e-14	13.7509919833501	c2.all.v2024.1.Hs.symbols
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_UP	0.208835341365462	1.10201661910894e-16	2.33340040654805e-14	13.6320107308018	c2.all.v2024.1.Hs.symbols
WIEDERSCHAIN_TARGETS_OF_BMI1_AND_PCGF2	0.436363636363636	3.84136428825196e-16	7.79476836824461e-14	13.108196785913	c2.all.v2024.1.Hs.symbols
