Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
BENPORATH_ES_WITH_H3K27ME3	0.237359550561798	5.63788045165352e-27	2.60278853823282e-23	22.5845611144144	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.344827586206897	1.05955161336569e-26	2.60278853823282e-23	22.5845611144144	c2.all.v2024.1.Hs.symbols
MEBARKI_HCC_PROGENITOR_FZD8CRD_DN	0.29277566539924	3.48688881473426e-18	5.71036158226314e-15	14.243336391192	c2.all.v2024.1.Hs.symbols
GOCC_SOMATODENDRITIC_COMPARTMENT	0.20933734939759	1.44689451155157e-18	1.26357297693799e-14	13.8983996705891	c5.all.v2024.1.Hs.symbols
LEE_BMP2_TARGETS_UP	0.211093990755008	3.61383904268594e-17	4.43869780417901e-14	13.3527444216439	c2.all.v2024.1.Hs.symbols
GOCC_PLASMA_MEMBRANE_REGION	0.188914027149321	1.62668367729959e-17	7.05343095527964e-14	13.1515995805277	c5.all.v2024.1.Hs.symbols
GOBP_SYNAPSE_ORGANIZATION	0.243589743589744	2.42302677955329e-17	7.05343095527964e-14	13.1515995805277	c5.all.v2024.1.Hs.symbols
GOBP_NERVOUS_SYSTEM_PROCESS	0.201192250372578	1.55063243060932e-16	3.38541825412781e-13	12.470387668415	c5.all.v2024.1.Hs.symbols
CARRILLOREIXACH_HEPATOBLASTOMA_VS_NORMAL_DN	0.197530864197531	2.04558268383742e-15	2.00998954513865e-12	11.6968062015349	c2.all.v2024.1.Hs.symbols
GOCC_CELL_BODY	0.223744292237443	2.98420637055511e-15	5.21221484681156e-12	11.282977691029	c5.all.v2024.1.Hs.symbols
SMID_BREAST_CANCER_BASAL_DN	0.211678832116788	9.23817520291706e-15	7.56452579532192e-12	11.1212182918219	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.187951807228916	1.15846027773811e-14	7.76318885833357e-12	11.1099598484451	c2.all.v2024.1.Hs.symbols
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.319277108433735	1.2641056557433e-14	7.76318885833357e-12	11.1099598484451	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.199095022624434	1.7946689193864e-14	9.79689822327264e-12	11.0089114036691	c2.all.v2024.1.Hs.symbols
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.233695652173913	1.15086792049523e-14	1.67508825828081e-11	10.7759623055976	c5.all.v2024.1.Hs.symbols
YOSHIMURA_MAPK8_TARGETS_UP	0.19047619047619	4.51371890756137e-14	2.2175900992849e-11	10.6541187260273	c2.all.v2024.1.Hs.symbols
GOBP_SYNAPTIC_SIGNALING	0.204753199268739	2.11449591624082e-14	2.63798469093301e-11	10.5787277291318	c5.all.v2024.1.Hs.symbols
GOBP_NEURON_DEVELOPMENT	0.176154672395274	2.53719984307741e-14	2.76967077869938e-11	10.5575718509686	c5.all.v2024.1.Hs.symbols
GOBP_CELL_JUNCTION_ORGANIZATION	0.198019801980198	2.92023599123756e-14	2.83360232349751e-11	10.547661100041	c5.all.v2024.1.Hs.symbols
GOCC_DENDRITIC_TREE	0.208416833667335	5.82431655202053e-14	5.08637564487953e-11	10.293591568959	c5.all.v2024.1.Hs.symbols
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.414285714285714	1.10303413456718e-12	5.40486725937916e-11	10.2672149676176	h.all.v2024.1.Hs.symbols
REACTOME_NEURONAL_SYSTEM	0.256410256410256	1.90767001619478e-13	8.52034799051358e-11	10.0695426672904	c2.all.v2024.1.Hs.symbols
MARTORIATI_MDM4_TARGETS_NEUROEPITHELIUM_DN	0.341269841269841	3.06149865816098e-13	1.23070296779297e-10	9.90984675211688	c2.all.v2024.1.Hs.symbols
VECCHI_GASTRIC_CANCER_EARLY_DN	0.261904761904762	3.25649065363498e-13	1.23070296779297e-10	9.90984675211688	c2.all.v2024.1.Hs.symbols
MIKKELSEN_MCV6_HCP_WITH_H3K27ME3	0.265560165975104	3.77344162418476e-13	1.32420847854427e-10	9.87804363577716	c2.all.v2024.1.Hs.symbols
