Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.127002288329519	4.43286924095411e-21	1.96420436066677e-17	16.7068133291292	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.126302083333333	2.84298923022748e-18	6.29864263956899e-15	14.2007530311272	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.136286201022147	4.39699455433298e-17	6.49436095674982e-14	13.1874635769407	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.124118476727786	3.75994866176512e-16	4.16508313007032e-13	12.380376326173	c2.all.v2024.1.Hs.symbols
CHICAS_RB1_TARGETS_CONFLUENT	0.134724857685009	5.44121735192708e-15	4.82200681727778e-12	11.3167721799594	c2.all.v2024.1.Hs.symbols
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	0.194444444444444	1.08777349043656e-14	8.03320722687402e-12	11.0951110297094	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME_ASSOCIATED	0.151041666666667	1.3367062282078e-14	8.46135042455536e-12	11.0725603183878	c2.all.v2024.1.Hs.symbols
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	0.147869674185464	9.76243366703517e-15	7.63617561435491e-11	10.1171240923962	c5.all.v2024.1.Hs.symbols
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP	0.152046783625731	2.5361396734693e-13	1.40470436164281e-10	9.85241506908084	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.112328767123288	1.07819324439557e-12	5.30830473990752e-10	9.27504415305303	c2.all.v2024.1.Hs.symbols
GOBP_CELL_CELL_SIGNALING	0.102813852813853	9.79785651430314e-13	3.83194168274396e-09	8.41658110895028	c5.all.v2024.1.Hs.symbols
LIU_PROSTATE_CANCER_DN	0.131336405529954	8.80677217623864e-12	3.90228075129134e-09	8.40868148831146	c2.all.v2024.1.Hs.symbols
FOROUTAN_INTEGRATED_TGFB_EMT_UP	0.230769230769231	1.02134633418989e-11	4.11416873345038e-09	8.38571790065693	c2.all.v2024.1.Hs.symbols
GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX	0.151612903225806	2.33081211423006e-12	6.07720411916918e-09	8.21629617646492	c5.all.v2024.1.Hs.symbols
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.147540983606557	3.0771229006076e-11	1.13622763104936e-08	7.94453465365553	c2.all.v2024.1.Hs.symbols
PASINI_SUZ12_TARGETS_DN	0.146179401993355	6.99976398788897e-11	2.38584263310277e-08	7.62235820518746	c2.all.v2024.1.Hs.symbols
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.123913043478261	9.11261345606451e-11	2.88414215884442e-08	7.53998333712871	c2.all.v2024.1.Hs.symbols
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.187817258883249	7.55615271230761e-10	3.32470719341535e-08	7.47824659694238	h.all.v2024.1.Hs.symbols
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.1438127090301	1.96952583275554e-10	5.81797930995986e-08	7.23522782753486	c2.all.v2024.1.Hs.symbols
FOROUTAN_PRODRANK_TGFB_EMT_UP	0.176795580110497	2.24527920416707e-10	6.21802009604017e-08	7.20634787869275	c2.all.v2024.1.Hs.symbols
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	0.129198966408269	3.16726012814174e-10	8.25537036929178e-08	7.08326343775776	c2.all.v2024.1.Hs.symbols
MEBARKI_HCC_PROGENITOR_WNT_UP	0.182926829268293	3.49464387150816e-10	8.60264833036259e-08	7.06536783036032	c2.all.v2024.1.Hs.symbols
WONG_ADULT_TISSUE_STEM_MODULE	0.110016420361248	3.69793289869798e-10	8.6239687758583e-08	7.06429282457118	c2.all.v2024.1.Hs.symbols
GOBP_RESPONSE_TO_WOUNDING	0.126760563380282	6.75492908873331e-11	9.37937522343314e-08	7.0278260897715	c5.all.v2024.1.Hs.symbols
GOBP_VASCULATURE_DEVELOPMENT	0.110754414125201	7.0104795538598e-11	9.37937522343314e-08	7.0278260897715	c5.all.v2024.1.Hs.symbols
