Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
CHICAS_RB1_TARGETS_CONFLUENT	0.125237191650854	1.48250967834989e-30	5.55199874542036e-27	26.2555506406903	c2.all.v2024.1.Hs.symbols
CHARAFE_BREAST_CANCER_LUMINAL_VS_MESENCHYMAL_DN	0.123913043478261	4.16816981978162e-26	7.80489798754109e-23	22.1076327689292	c2.all.v2024.1.Hs.symbols
JINESH_BLEBBISHIELD_TO_IMMUNE_CELL_FUSION_PBSHMS_UP	0.140350877192982	2.05569015539466e-24	2.56618654398434e-21	20.5907117766133	c2.all.v2024.1.Hs.symbols
FOROUTAN_INTEGRATED_TGFB_EMT_UP	0.230769230769231	7.19624507875025e-20	6.73748445497992e-17	16.1715022238274	c2.all.v2024.1.Hs.symbols
FOROUTAN_PRODRANK_TGFB_EMT_UP	0.176795580110497	1.31539913105052e-19	8.96121976151512e-17	16.0476328720744	c2.all.v2024.1.Hs.symbols
PASINI_SUZ12_TARGETS_DN	0.132890365448505	1.43570944109721e-19	8.96121976151512e-17	16.0476328720744	c2.all.v2024.1.Hs.symbols
SENESE_HDAC1_AND_HDAC2_TARGETS_DN	0.157407407407407	4.13326505801238e-19	2.01639437065489e-16	15.6954245236902	c2.all.v2024.1.Hs.symbols
FOROUTAN_TGFB_EMT_UP	0.170212765957447	4.30738450340163e-19	2.01639437065489e-16	15.6954245236902	c2.all.v2024.1.Hs.symbols
NABA_MATRISOME	0.0885860306643952	2.90196636659082e-17	1.20754044920918e-14	13.918098312689	c2.all.v2024.1.Hs.symbols
LIU_PROSTATE_CANCER_DN	0.101382488479263	7.31873023880073e-17	2.74086447443087e-14	13.5621124381788	c2.all.v2024.1.Hs.symbols
CHARAFE_BREAST_CANCER_LUMINAL_VS_BASAL_DN	0.102137767220903	1.29487680253291e-16	4.40846693225976e-14	13.3557124124856	c2.all.v2024.1.Hs.symbols
REN_ALVEOLAR_RHABDOMYOSARCOMA_DN	0.103960396039604	1.59861657314221e-16	4.98901588868132e-14	13.3019851129468	c2.all.v2024.1.Hs.symbols
KOINUMA_TARGETS_OF_SMAD2_OR_SMAD3	0.0747422680412371	8.60273617469112e-16	2.47824976724756e-13	12.6058549259377	c2.all.v2024.1.Hs.symbols
GOBP_WOUND_HEALING	0.118971061093248	1.06335100624154e-16	6.86818414931413e-13	12.1631580690791	c5.all.v2024.1.Hs.symbols
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.177664974619289	2.53918847076915e-14	1.11724292713843e-12	11.9518523860205	h.all.v2024.1.Hs.symbols
BOQUEST_STEM_CELL_CULTURED_VS_FRESH_UP	0.10077519379845	5.9433164174287e-15	1.58983714166218e-12	11.798647361277	c2.all.v2024.1.Hs.symbols
WONG_ADULT_TISSUE_STEM_MODULE	0.0804597701149425	1.2014560544331e-14	2.99805412098305e-12	11.523160531517	c2.all.v2024.1.Hs.symbols
RUIZ_TNC_TARGETS_DN	0.170212765957447	1.33473597457234e-14	2.99805412098305e-12	11.523160531517	c2.all.v2024.1.Hs.symbols
DUTERTRE_ESTRADIOL_RESPONSE_24HR_DN	0.0897703549060543	1.36093244477201e-14	2.99805412098305e-12	11.523160531517	c2.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0675057208237986	4.440235806209e-14	9.23815727458483e-12	11.0344146484	c2.all.v2024.1.Hs.symbols
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	0.110367892976589	6.31645353088391e-14	1.24500623542949e-11	10.9048284734632	c2.all.v2024.1.Hs.symbols
ZWANG_CLASS_1_TRANSIENTLY_INDUCED_BY_EGF	0.0911161731207289	7.5764126009997e-14	1.41868325953719e-11	10.8481145559097	c2.all.v2024.1.Hs.symbols
MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	0.128440366972477	1.26671043619916e-13	2.25896694455517e-11	10.6460901240607	c2.all.v2024.1.Hs.symbols
GOBP_RESPONSE_TO_WOUNDING	0.0938967136150235	1.99032798205846e-14	6.42776421805781e-11	10.1919400623185	c5.all.v2024.1.Hs.symbols
NABA_MATRISOME_ASSOCIATED	0.09375	6.30678171232972e-13	1.07358625057613e-10	9.96916305915082	c2.all.v2024.1.Hs.symbols
