Pathway	gene.ratio	p.value	p.adjust	minus.log.padj	collection
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	0.134426229508197	3.89574755528581e-18	1.22287515760422e-14	13.9126178774944	c2.all.v2024.1.Hs.symbols
BENPORATH_ES_WITH_H3K27ME3	0.0807291666666667	1.16018862674146e-15	1.82091604967073e-12	11.7397100761739	c2.all.v2024.1.Hs.symbols
BENPORATH_SUZ12_TARGETS	0.077574047954866	3.06735750394814e-13	3.20947840163107e-10	9.49356554257949	c2.all.v2024.1.Hs.symbols
GOCC_SOMATODENDRITIC_COMPARTMENT	0.0756914119359534	1.34412770964743e-12	8.05670149162672e-09	8.09384272707718	c5.all.v2024.1.Hs.symbols
GOBP_CELL_CELL_SIGNALING	0.0638528138528139	4.19553204584213e-11	1.25740095413889e-07	6.90052621443509	c5.all.v2024.1.Hs.symbols
REACTOME_NEURONAL_SYSTEM	0.100671140939597	2.49357155463473e-10	1.9568302774996e-07	6.70844684053608	c2.all.v2024.1.Hs.symbols
YOSHIMURA_MAPK8_TARGETS_UP	0.0651629072681704	9.06173841087333e-10	5.68895937434627e-07	6.24496716757873	c2.all.v2024.1.Hs.symbols
BENPORATH_EED_TARGETS	0.0657534246575342	3.24190045465855e-09	1.69605425452887e-06	5.77056025935192	c2.all.v2024.1.Hs.symbols
GOCC_CELL_BODY	0.0791208791208791	1.61653183618625e-09	3.22983060870012e-06	5.49082025402676	c5.all.v2024.1.Hs.symbols
VERHAAK_GLIOBLASTOMA_PRONEURAL	0.120481927710843	1.28294970947637e-08	5.7531130543519e-06	5.24009709157527	c2.all.v2024.1.Hs.symbols
GOBP_SYNAPTIC_SIGNALING	0.0699658703071672	4.2498197136919e-09	6.36835484096731e-06	5.19597274596438	c5.all.v2024.1.Hs.symbols
MEISSNER_BRAIN_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.0594965675057208	2.00848873912392e-08	7.8808076901375e-06	5.1034292701508	c2.all.v2024.1.Hs.symbols
GOCC_DENDRITIC_TREE	0.0697674418604651	4.36132272114829e-08	5.22835367811257e-05	4.28163504173853	c5.all.v2024.1.Hs.symbols
BENPORATH_PRC2_TARGETS	0.0736342042755344	2.08427706149493e-07	7.269495217814e-05	4.13849574481208	c2.all.v2024.1.Hs.symbols
GOBP_BEHAVIOR	0.0693877551020408	1.21034943407212e-07	0.000120913908463804	3.91752374031654	c5.all.v2024.1.Hs.symbols
VECCHI_GASTRIC_CANCER_EARLY_DN	0.0877862595419847	3.99043854277122e-07	0.000125259865857588	3.90218805772605	c2.all.v2024.1.Hs.symbols
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	0.0747422680412371	2.31587131492132e-07	0.00019830475230912	3.70266687794348	c5.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPSE	0.0645161290322581	3.04382438270901e-07	0.000228058541874473	3.64195365672944	c5.all.v2024.1.Hs.symbols
GOCC_SYNAPTIC_MEMBRANE	0.0806451612903226	3.98215334261741e-07	0.00026521141261832	3.57640779123817	c5.all.v2024.1.Hs.symbols
MEISSNER_NPC_HCP_WITH_H3K4ME2	0.0729166666666667	1.00201483795986e-06	0.000285938597850545	3.54372721679285	c2.all.v2024.1.Hs.symbols
GOCC_NEURON_SPINE	0.108974358974359	4.96890731763586e-07	0.000297836304619094	3.52602236523142	c5.all.v2024.1.Hs.symbols
GOCC_PLASMA_MEMBRANE_REGION	0.0530877573131094	7.70994083967851e-07	0.000420121685391209	3.376624900936	c5.all.v2024.1.Hs.symbols
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	0.150684931506849	2.78686207470853e-06	0.000728996671042505	3.13727445487979	c2.all.v2024.1.Hs.symbols
GOCC_POSTSYNAPTIC_SPECIALIZATION	0.0766773162939297	1.6844587820071e-06	0.000841387161612548	3.07500411899286	c5.all.v2024.1.Hs.symbols
GOBP_NERVOUS_SYSTEM_PROCESS	0.0563380281690141	2.11674888016643e-06	0.0009272730492369	3.03279236260223	c5.all.v2024.1.Hs.symbols
