samples	x	y	Type	Patient	Flattening	Batch
s17	-5.69347089650754	2.79013256116	NS	R006	No	b2
s16	-5.93251435559292	3.03616817427726	E-GSC	R006	No	b2
s20	-1.54427537704111	-2.5065903162569	E-GSC	GBM03C	No	b2
s23	-1.84080030209361	-2.16617718155625	L-GSC	GBM03C	No	b2
s18	-4.72853718105919	1.87806661830906	differentiated	R006	No	b2
s26	3.09489522731094	2.74098606433303	differentiated	GBM05C	Yes	b2
s19	-5.88670925131731	3.00189363781304	L-GSC	R006	No	b2
s27	2.71065030824978	3.95256235471279	L-GSC	GBM05C	Yes	b2
s21	-1.73476231759346	-2.51728442509181	NS	GBM03C	No	b2
s22	-2.05943425616863	-2.26285261257327	differentiated	GBM03C	No	b2
s24	0.821941258622374	-0.022203248133563	E-GSC	GBM05C	Yes	b2
s11	1.35110235825998	-1.52045406494162	E-GSC	LE13	No	b1
s2	2.55668816643231	2.23987869953114	NS	R008	Yes	b1
s25	1.86059113624325	1.69450442831385	NS	GBM05C	Yes	b2
s3	3.45925977630711	2.15374396100932	differentiated	R008	Yes	b1
s4	2.11541362691714	-1.20470792150886	L-GSC	R008	Yes	b1
s5	3.58991744983843	3.37130399850579	NS-GSC	R008	Yes	b1
s13	2.52008697936143	-0.274414661019145	differentiated	LE13	No	b1
s7	-0.167813101654201	-2.96177574803325	NS	R004	Yes	b1
s6	0.0304506549205073	-2.85920545951783	E-GSC	R004	Yes	b1
s8	2.46040965958485	-0.150085861720882	differentiated	R004	Yes	b1
s10	0.0709337432282727	-2.81439041416485	NS-GSC	R004	Yes	b1
s14	-0.865660987387412	-1.15018487918656	L-GSC	LE13	No	b1
s9	-0.325281617113327	-2.54868582702182	L-GSC	R004	Yes	b1
s12	1.18187943498132	-1.54412274733965	NS	LE13	No	b1
s1	2.11344069061809	1.34123057035254	E-GSC	R008	Yes	b1
s15	0.841599172652898	-1.69733570025155	NS-GSC	LE13	No	b1
