samples	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	Type	Patient	Flattening	Batch
s17	-57.1887850195564	-54.1429409006883	1.50720377325409	-14.6957159313849	2.7590624188502	-6.9980879782133	5.06433237744094	-14.0694618497622	0.0760214432862374	0.180504170255506	0.301653273902386	-11.9474702998187	4.42025138081661	5.37026414727433	17.4108112821733	-1.36428103513397	-0.627811730239007	-6.75094041124405	-8.39658851434017	2.6276926552546	0.914273401338966	0.110902455441877	1.78644341192518	0.156315595933133	-1.1686890585404	-0.983567996875659	-7.92699239582362e-14	NS	R006	No	b2
s16	-54.7044910565443	-52.459337962812	4.60703483226577	-19.9599438282329	-2.75046518475798	-2.79075732769635	-0.0789418978149165	-7.11056705252463	2.01572623614235	4.66421145999624	-0.0326602634064694	5.59840774728544	1.40708629475072	-3.42133723605149	-7.21934872039034	-0.968851061659034	-1.25142585087482	3.08810825453264	3.94429503837517	0.0128737019499837	-2.93602594970211	1.14422563917256	0.365838126103881	8.28400956160436	7.91737077146254	5.31717493948454	-5.73846525853128e-14	E-GSC	R006	No	b2
s20	-37.0302834488738	32.5991663457631	42.7299793388524	15.2871968873339	0.402992769200206	-1.94667537650301	0.48073170575776	-3.07016309547902	0.0418251766302801	0.369859766201733	-0.267731219835147	1.29517255858788	2.62560585437933	4.22099364781342	-1.66169157284508	-0.00467820719510692	11.0960250071943	7.36186298884542	-0.851756311666399	5.6880475654922	-4.82269315991658	-4.86343717788224	12.5398294929144	-2.42584715799331	-0.182944941412863	1.25154288574158	-3.88508669679766e-14	E-GSC	GBM03C	No	b2
s23	-38.7340840073066	37.0715165264448	51.799165639058	7.53261726222711	0.62174316733551	-2.8358787908201	-5.42785774850659	-4.92038133421939	-0.0862767118997153	-0.857491905769787	5.55451579191793	4.71144735886584	-2.85169338206783	-3.25176468559187	-4.65661905650674	12.6686675036869	-11.3339389527932	-13.1662280550478	-3.58330417252895	-4.1064693143082	0.682820974304763	-2.68539563901952	1.27585145052574	-1.43709882695941	1.143436033011	0.559074292095987	-8.24340595784179e-15	L-GSC	GBM03C	No	b2
s18	-42.0456358638073	-28.6797497728098	-4.21642473871281	-19.8302013356396	-12.79806160367	-2.77765260018213	-1.51164371014982	44.4239418711646	-6.0375547761517	-6.33334382615324	4.46760536091101	-0.804452617893266	-5.57248017377442	0.874426208535204	0.660852453383237	5.13986347193288	4.07839279595859	-1.902885478435	-0.677171501013377	1.00588600572097	1.03796260889715	-0.720281888160953	0.523150419340541	-0.496604148302472	-0.189062070736615	-0.495117280082972	-8.33361157859258e-15	differentiated	R006	No	b2
s26	60.4084829664899	5.34859534932342	23.2712700904131	-39.1084426992069	-14.197369452756	19.4774762908712	3.27530049392031	-5.67424882272195	10.8869188277615	-14.8111907713553	18.7456885954021	14.1233041347947	3.95520889106371	7.05747384401769	4.39540091402945	-1.96098923679856	4.82974556529908	-0.432262259617375	-1.04840911284955	-2.61704158681764	0.814207899486248	1.98454210809686	-1.31027533354913	-0.126307409183574	0.347300080174398	0.0536598911645043	2.42583730880597e-14	differentiated	GBM05C	Yes	b2
s19	-54.3157553949089	-54.4757945492024	7.25839949550951	-20.3883960286283	-1.44236038090288	-4.12618681358348	-1.26713671063099	-10.3656974051417	2.50541825109967	5.37152459011486	0.270609834189023	6.07964479067809	-0.242410666688053	-2.78941596949957	-10.4190002039216	-1.25071816841874	-1.29449190145824	5.87474373265017	4.37821161088601	-3.05245243541177	1.33959777270259	-0.580544244447386	-2.28495734203088	-7.8830730082263	-6.3535531061936	-4.12376730766685	-1.06900599483595e-13	L-GSC	R006	No	b2
s27	50.2701183298287	-28.0493752300272	29.1883845736878	0.464632442903483	30.8689219615611	37.7599307686738	-7.58998111073731	2.92147226683201	-27.2998215302306	13.4557406754448	-5.82380871872031	1.86982825287158	3.30249667037562	2.62674686380309	-1.01811161490374	-0.32542604589732	1.31092679041095	-1.33050339299405	-2.82814998106823	-1.15485561576522	-1.13667827093209	0.125758366019421	-1.05077495107376	-0.0736408571093408	-0.346113432746219	0.522262357671798	2.90323320939478e-14	L-GSC	GBM05C	Yes	b2
s21	-39.892204719032	34.2252788708919	44.4529877938266	17.7322587605279	3.93074464231157	-5.65536821291316	2.97534841377118	-2.89800605651668	-1.44550568452494	1.22105907095732	2.94234907172091	-8.40018900010337	-0.869007031915583	4.67473455652668	0.269420727080139	7.38297975570238	6.9847496524729	7.80353179296328	0.569337432308905	0.846304062395449	2.55148851357941	7.35661547157125	-11.2609580526209	3.77745030041993	-0.948130733365323	-1.52926127400777	-4.54358772827845e-14	NS	GBM03C	No	b2
s22	-36.6423615523601	36.3601999642997	43.0962580481897	5.73834335814249	-3.51680504716476	-0.424155179869216	0.650446840698489	10.7977391835232	-1.4895917606112	-1.59357453300176	-5.25308645948637	2.54757850888593	3.87756297437098	-5.31914395149713	6.86750000931855	-22.0334903716659	-7.21907258833662	-0.405393463970077	4.43345191357812	-1.79985556503891	1.31839135101529	0.0199579662363476	-2.00908779818407	0.0475161237916834	0.109865354576715	-0.287116159236783	-3.07948111455403e-14	differentiated	GBM03C	No	b2
