samples	lib.size	norm.factors
s17	72687530	1.16445416291117
s16	99052770	1.13455571649622
s20	67195106	1.15369597998984
s23	63116622	1.12536859416321
s18	81107366	1.0076153055101
s26	63057104	0.872593336202864
s19	82035846	1.17411980947282
s27	63143726	1.00919171098503
s21	83422047	1.17503117862565
s22	75054364	1.09742703538491
s24	74458823	1.00105581185249
s11	92922684	1.01974203347416
s2	100140644	0.96693460981995
s25	75204220	1.00594505698914
s3	110250669	0.840326221429393
s4	118581023	0.925802859296083
s5	125038998	0.904347506756145
s13	110993139	0.890347851444233
s7	121861630	0.860939750367186
s6	128441395	1.0319332057624
s8	120700910	0.946304192471116
s10	123530063	0.968238054723112
s14	142527680	0.904007778393242
s9	144364333	0.917611885173002
s12	133787494	1.01778742290992
s1	145074863	0.925801430203353
s15	129749436	1.09653617405061
